Category,Series,Series #,Title,Permalink URL,Artwork URL,Date,Host account,Duration,Plays,Notes
Track,Party People,3,Deckard - Party People 3 (Ghetto Funk),https://soundcloud.com/deckard-dj/party-people-3,https://i1.sndcdn.com/artworks-000006942858-769spd-t500x500.jpg,2011-04-21,deckard-dj,1:04:19,10018,
Track,,,Deckard & Rumblemunk - Jack the Ripper,https://soundcloud.com/deckard-dj/jack-the-ripper,https://i1.sndcdn.com/artworks-000005207333-osipv1-t500x500.jpg,2011-03-01,deckard-dj,5:09,1556,
Track,,,Deckard - Ghost Ship 2010,https://soundcloud.com/deckard-dj/deckard-ghost-ship-2010,https://i1.sndcdn.com/artworks-000003475664-c50x93-t500x500.jpg,2010-12-08,deckard-dj,58:49,789,
Repost,My Definition of Chill,2,Deckard - My Definition of Chill - Vol. 2,https://soundcloud.com/spacecowboys/deckard-my-definition-of-chill,https://i1.sndcdn.com/artworks-000002016920-6gsbd9-t500x500.jpg,2010-08-03,spacecowboys,1:17:44,3687,Vol. 2 (Pt 1 counterpart to the existing 'Vol. II Part 2'). Hosted on Space Cowboys; not in Deckard's reposts — found via search.
Track,My Definition of Chill,2.5,My Definition of Chill Vol. II  Part 2,https://soundcloud.com/deckard-dj/deckard-my-definition-of-chill-vol-ii-pt-2,https://i1.sndcdn.com/artworks-000001883878-p38sa5-t500x500.jpg,2010-07-16,deckard-dj,1:17:50,6128,
Track,,,Breakfast of Champions 2010,https://soundcloud.com/deckard-dj/deckard-breakfast-of-champions-2010,https://i1.sndcdn.com/artworks-000001167530-6749kh-t500x500.jpg,2010-03-30,deckard-dj,1:13:00,1426,
Track,,,Dance to the Music (Deckard Re-edit),https://soundcloud.com/deckard-dj/dance-to-the-music-deckard-re-edit,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2009-12-03,deckard-dj,4:42,1476,
Track,,,Some People Call Me A Space Cowboy,https://soundcloud.com/deckard-dj/deckard-some-people-call-me-a-space-cowboy,https://i1.sndcdn.com/artworks-000000685437-sbhorl-t500x500.jpg,2009-09-25,deckard-dj,1:10:37,4989,
Track,Party People,1,Party People (Under Construction) 🚧,https://soundcloud.com/deckard-dj/deckard-party-people,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2009-07-23,deckard-dj,1:13:54,2216,🚧 Under Construction — never-released DnB mix. (A 2009 'Party People' teaser exists on SoundCloud; full mix never released.)
Track,My Definition of Chill,1,My Definition of Chill Vol. I,https://soundcloud.com/deckard-dj/deckard-my-definition-of-chill-vol-i,https://i1.sndcdn.com/artworks-000000048943-6dbe36-t500x500.jpg,2008-09-11,deckard-dj,1:49:57,7950,
Track,Party People,2,Deckard - Party People 2 (All Mashed Up),https://www.dropbox.com/scl/fi/k9hhyggw4lr9jrp4sdkjp/Deckard-Party-People-2-All-Mashed-Up.mp3?rlkey=smc24b8wqzvje4fky4mit6xd8&dl=0,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2010,Dropbox,,,Party People 2 — 'All Mashed Up'. Pulled from SoundCloud; hosted on Dropbox. Approx. 2010 (falls between Vol. 1 and Vol. 3).
